TF,Re,TL_OUT,TU_OUT,Tb,Tb_max,PL_in,PL_out,PU_in,PU_out,hi,wc,ho,Dhi,Dho,Dh_m,vin,del_PL,del_PU,del_p,Rth,T_mean,h_mean,f,Nu
0.88,600,295.7423459,294.1508072,300.9525757,302.02,55959.46453,138.7190188,55959.02429,138.8756718,558.5106383,100,491.4893617,169.628433,166.1870504,167.9077417,3.554151759,55820.74552,55820.14862,55820.44707,0.0887,294.0482883,144837.5392,0.03716589,40.5322402
0.86,10,371.4309848,365.37269,397.2488002,418.89,819.2141635,0.902701807,819.2141609,0.902701032,564.516129,100,485.483871,169.9029126,165.8402204,167.8715665,0.059140167,818.3114617,818.3114599,818.3114608,1.2574,330.7759187,15043.72876,1.96735679,4.209023855
0.86,50,310.4670254,305.7752024,313.8469769,316.79,4146.989588,5.566905985,4146.986227,5.567262265,564.516129,100,485.483871,169.9029126,165.8402204,167.8715665,0.295700833,4141.422682,4141.418965,4141.420823,0.2364,300.6355569,75692.09106,0.398266566,21.17758316
0.86,100,302.7872944,299.1535786,306.7957228,308.49,8404.521755,13.33025687,8404.512117,13.33293302,564.516129,100,485.483871,169.9029126,165.8402204,167.8715665,0.591401666,8391.191498,8391.179184,8391.185341,0.1534,297.0602183,102716.8134,0.201738045,28.73872061
0.86,200,298.7395894,296.0772643,303.5962018,304.85,17243.79738,32.88996981,17243.76334,32.90636961,564.516129,100,485.483871,169.9029126,165.8402204,167.8715665,1.182803332,17210.90741,17210.85697,17210.88219,0.117,295.2792134,120235.8296,0.103444555,33.64029511
0.86,300,297.300887,295.1018882,302.4318041,303.57,26524.7846,56.10664335,26524.62976,56.16071909,564.516129,100,485.483871,169.9029126,165.8402204,167.8715665,1.774204998,26468.67796,26468.46904,26468.5735,0.1042,294.6756938,128930.6063,0.07070539,36.07297141
0.86,400,296.5412929,294.6216402,301.7564268,302.85,36243.4741,82.30135691,36243.27705,82.36352375,564.516129,100,485.483871,169.9029126,165.8402204,167.8715665,2.365606663,36161.17274,36160.91352,36161.04313,0.097,294.3657333,135305.2997,0.054335725,37.85652103
0.86,500,296.0617116,294.3338687,301.2877369,302.36,46399.57091,111.5231244,46399.07214,111.6252894,564.516129,100,485.483871,169.9029126,165.8402204,167.8715665,2.957008329,46288.04779,46287.44685,46287.74732,0.0921,294.1738951,140571.0199,0.044513376,39.32979553
0.86,600,295.7260436,294.1409741,300.9320388,301.99,56984.05843,143.9337648,56983.61981,144.1131932,564.516129,100,485.483871,169.9029126,165.8402204,167.8715665,3.548409995,56840.12466,56839.50661,56839.81564,0.0884,294.0417544,145131.8919,0.037958991,40.60586342
0.84,10,370.7068661,364.6405513,396.2349543,417.74,827.5487858,0.925126004,827.5462181,0.925094399,570.6521739,100,479.3478261,170.178282,165.478424,167.828353,0.059044471,826.6236598,826.6211237,826.6223918,1.2459,330.4118544,15192.23496,1.993271567,4.24947962
